# a_re a_im b_re b_im | D on the segment ball | D(a)
9/2 71/25 9/2 143/50 | [-3e+2 +/- 9.76] + [-4.4e+2 +/- 6.72]j | [-2.97e+2 +/- 0.305] + [-437.5 +/- 0.0828]j
9/2 143/50 9/2 72/25 | [-3e+2 +/- 11.4] + [-4.4e+2 +/- 7.86]j | [-295.2 +/- 0.0711] + [-4.41e+2 +/- 0.501]j
9/2 72/25 9/2 29/10 | [-2.9e+2 +/- 8.63] + [-4e+2 +/- 51.0]j | [-2.94e+2 +/- 0.421] + [-4.44e+2 +/- 0.420]j
9/2 29/10 9/2 73/25 | [-2.9e+2 +/- 7.06] + [-4.5e+2 +/- 7.50]j | [-2.92e+2 +/- 0.134] + [-446.7 +/- 0.0904]j
9/2 73/25 9/2 147/50 | [-2.9e+2 +/- 6.10] + [-4.5e+2 +/- 7.13]j | [-290.5 +/- 0.0805] + [-449.8 +/- 0.0726]j
9/2 147/50 9/2 74/25 | [-2.9e+2 +/- 7.71] + [-5e+2 +/- 51.4]j | [-288.9 +/- 0.0767] + [-452.9 +/- 0.0736]j
9/2 74/25 9/2 149/50 | [-2.9e+2 +/- 9.32] + [-4.6e+2 +/- 8.28]j | [-287.3 +/- 0.0837] + [-456.0 +/- 0.0917]j
9/2 149/50 9/2 3 | [-3e+2 +/- 21.0] + [-4.6e+2 +/- 6.40]j | [-2.86e+2 +/- 0.402] + [-4.59e+2 +/- 0.120]j
9/2 3 9/2 151/50 | [-2.8e+2 +/- 9.04] + [-4.6e+2 +/- 9.50]j | [-2.84e+2 +/- 0.101] + [-4.62e+2 +/- 0.202]j
9/2 151/50 9/2 76/25 | [-2.8e+2 +/- 7.40] + [-4.7e+2 +/- 9.06]j | [-282.4 +/- 0.0699] + [-465.2 +/- 0.0836]j
9/2 76/25 9/2 153/50 | [-2.8e+2 +/- 5.77] + [-4.7e+2 +/- 5.84]j | [-2.81e+2 +/- 0.321] + [-468.3 +/- 0.0658]j
9/2 153/50 9/2 77/25 | [-2.8e+2 +/- 7.42] + [-4.7e+2 +/- 8.60]j | [-279.1 +/- 0.0818] + [-471.4 +/- 0.0825]j
9/2 77/25 9/2 31/10 | [-2.8e+2 +/- 9.10] + [-4.8e+2 +/- 9.66]j | [-277.4 +/- 0.0780] + [-4.74e+2 +/- 0.531]j
9/2 31/10 9/2 78/25 | [-3e+2 +/- 30.8] + [-4.8e+2 +/- 6.58]j | [-275.7 +/- 0.0952] + [-4.78e+2 +/- 0.519]j
9/2 78/25 9/2 157/50 | [-2.7e+2 +/- 8.86] + [-4.8e+2 +/- 7.84]j | [-2.74e+2 +/- 0.102] + [-480.6 +/- 0.0946]j
9/2 157/50 9/2 79/25 | [-2.7e+2 +/- 7.15] + [-5e+2 +/- 20.5]j | [-2.72e+2 +/- 0.398] + [-483.7 +/- 0.0768]j
9/2 79/25 9/2 159/50 | [-2.7e+2 +/- 5.93] + [-4.9e+2 +/- 7.34]j | [-270.6 +/- 0.0818] + [-486.8 +/- 0.0733]j
